tx_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
lcl|AM181176.4_cds_CAY46308.1_23,1185.063752,-0.413873825,0.185880485,-2.226558776,0.025976777,0.999933366
lcl|AM181176.4_cds_CAY46377.1_92,1716.061633,0.419299732,0.182056776,2.303126203,0.021271743,0.999933366
lcl|AM181176.4_cds_CAY46387.1_102,1002.031384,0.416989557,0.20760017,2.008618574,0.0445776,0.999933366
lcl|AM181176.4_cds_CAY46817.1_530,1121.29395,-0.535775868,0.202157221,-2.650293003,0.008042199,0.999933366
lcl|AM181176.4_cds_CAY46890.1_603,578.1389089,-0.635841337,0.227466067,-2.795323915,0.005184774,0.999933366
lcl|AM181176.4_cds_CAY47046.1_758,374.0748516,-0.53924189,0.259989305,-2.074092584,0.038070713,0.999933366
lcl|AM181176.4_cds_CAY47051.1_763,4740.256575,-0.285607752,0.142261708,-2.007622129,0.044683461,0.999933366
lcl|AM181176.4_cds_CAY47301.1_1013,398.4487339,-0.781143162,0.293053528,-2.665530655,0.007686692,0.999933366
lcl|AM181176.4_cds_CAY47412.1_1124,739.9290462,-0.93426959,0.215383395,-4.337704826,1.44E-05,0.017075831
lcl|AM181176.4_cds_CAY47458.1_1170,1324.882178,-0.4736225,0.182112108,-2.600719437,0.00930285,0.999933366
lcl|AM181176.4_cds_CAY47463.1_1175,870.1789991,0.435086472,0.214692005,2.026561131,0.042707315,0.999933366
lcl|AM181176.4_cds_CAY47474.1_1186,297.3061527,-0.93660624,0.284095634,-3.296799137,0.000977934,0.421756318
lcl|AM181176.4_cds_CAY47634.1_1346,1816.756144,0.353975022,0.176315005,2.007628458,0.044682788,0.999933366
lcl|AM181176.4_cds_CAY47665.1_1377,3204.981932,-0.843278783,0.192939652,-4.370686769,1.24E-05,0.017075831
lcl|AM181176.4_cds_CAY47666.1_1378,301.8907745,-1.175424133,0.287136417,-4.093608696,4.25E-05,0.040296564
lcl|AM181176.4_cds_CAY47904.1_1616,1338.533295,0.447540848,0.223079134,2.006197712,0.044835158,0.999933366
lcl|AM181176.4_cds_CAY47974.1_1686,4460.618315,0.376146746,0.167708788,2.242856504,0.024906069,0.999933366
lcl|AM181176.4_cds_CAY48006.1_1718,190.0024995,-0.809560882,0.342891958,-2.360979495,0.018226738,0.999933366
lcl|AM181176.4_cds_CAY48010.1_1722,639.1599735,-0.435558877,0.218917234,-1.989605241,0.046634438,0.999933366
lcl|AM181176.4_cds_CAY48386.1_2098,717.3011408,-0.509222061,0.221156705,-2.30253955,0.021304764,0.999933366
