target_id	length	eff_length	est_counts	tpm
lcl|AM181176.4_cds_CAJ57270.1_1	1506	1306.61	6210	273.597
lcl|AM181176.4_cds_CAY46287.1_2	1104	904.61	6072	386.398
lcl|AM181176.4_cds_CAY46288.1_3	1104	904.61	3150	200.454
lcl|AM181176.4_cds_CAY46289.1_4	2418	2218.61	13665	354.563
lcl|AM181176.4_cds_CAY46290.1_5	723	523.63	715	78.6043
lcl|AM181176.4_cds_CAY46291.1_6	957	757.61	202	15.3487
lcl|AM181176.4_cds_CAY46292.1_7	2280	2080.61	375	10.3754
lcl|AM181176.4_cds_CAY46293.1_8	771	571.63	815	82.0744
lcl|AM181176.4_cds_CAY46294.1_9	537	338.533	1313	223.269
lcl|AM181176.4_cds_CAY46295.1_10	2055	1855.61	9008	279.452
lcl|AM181176.4_cds_CAY46296.1_11	954	754.61	4352	331.995
lcl|AM181176.4_cds_CAY46297.1_12	558	359.299	273	43.7392
lcl|AM181176.4_cds_CAY46298.1_13	888	688.61	1154	96.4712
lcl|AM181176.4_cds_CAY46299.1_14	312	129.161	142	63.2881
lcl|AM181176.4_cds_CAY46300.1_15	1374	1174.61	1041	51.0178
lcl|AM181176.4_cds_CAY46301.1_16	1311	1111.61	1012	52.4074
lcl|AM181176.4_cds_CAY46302.1_17	954	754.61	988	75.3701
lcl|AM181176.4_cds_CAY46303.1_18	507	309.115	2351	437.822
lcl|AM181176.4_cds_CAY46304.1_19	792	592.63	101	9.81076
lcl|AM181176.4_cds_CAY46305.1_20	1095	895.61	117	7.52024
lcl|AM181176.4_cds_CAY46306.1_21	558	359.299	548	87.7989
lcl|AM181176.4_cds_CAY46307.1_22	978	778.61	877	64.8402
lcl|AM181176.4_cds_CAY46308.1_23	933	733.61	3707	290.886
lcl|AM181176.4_cds_CAY46309.1_24	819	619.61	1834	170.391
lcl|AM181176.4_cds_CAY46310.1_25	1569	1369.61	353	14.8369
lcl|AM181176.4_cds_CAY46311.1_26	915	715.61	57	4.58525
lcl|AM181176.4_cds_CAY46312.1_27	1515	1315.61	104	4.55063
lcl|AM181176.4_cds_CAY46313.1_28	951	751.61	220	16.8498
lcl|AM181176.4_cds_CAY46314.1_29	348	159.499	109	39.34
lcl|AM181176.4_cds_CAY46315.1_30	960	760.61	192	14.5313
lcl|AM181176.4_cds_CAY46316.1_31	621	421.796	54	7.3698
lcl|AM181176.4_cds_CAY46317.1_32	1149	949.61	194	11.7604
lcl|AM181176.4_cds_CAY46318.1_33	1311	1111.61	67	3.46966
lcl|AM181176.4_cds_CAY46319.1_34	441	244.806	26	6.11387
lcl|AM181176.4_cds_CAY46320.1_35	810	610.61	322	30.3569
