target_id	length	eff_length	est_counts	tpm
lcl|AM181176.4_cds_CAJ57270.1_1	1506	1338.21	3981	253.124
lcl|AM181176.4_cds_CAY46287.1_2	1104	936.211	4609	418.889
lcl|AM181176.4_cds_CAY46288.1_3	1104	936.211	2101	190.949
lcl|AM181176.4_cds_CAY46289.1_4	2418	2250.21	9376	354.536
lcl|AM181176.4_cds_CAY46290.1_5	723	555.211	603	92.4113
lcl|AM181176.4_cds_CAY46291.1_6	957	789.211	133	14.3392
lcl|AM181176.4_cds_CAY46292.1_7	2280	2112.21	286	11.5211
lcl|AM181176.4_cds_CAY46293.1_8	771	603.211	637	89.8537
lcl|AM181176.4_cds_CAY46294.1_9	537	369.405	958	220.662
lcl|AM181176.4_cds_CAY46295.1_10	2055	1887.21	6888	310.555
lcl|AM181176.4_cds_CAY46296.1_11	954	786.211	2980	322.51
lcl|AM181176.4_cds_CAY46297.1_12	558	390.351	212	46.211
lcl|AM181176.4_cds_CAY46298.1_13	888	720.211	989	116.843
lcl|AM181176.4_cds_CAY46299.1_14	312	150.189	108	61.1861
lcl|AM181176.4_cds_CAY46300.1_15	1374	1206.21	845	59.6072
lcl|AM181176.4_cds_CAY46301.1_16	1311	1143.21	828	61.6268
lcl|AM181176.4_cds_CAY46302.1_17	954	786.211	734	79.437
lcl|AM181176.4_cds_CAY46303.1_18	507	339.532	1736	435.046
lcl|AM181176.4_cds_CAY46304.1_19	792	624.211	98	13.3586
lcl|AM181176.4_cds_CAY46305.1_20	1095	927.211	115	10.5532
lcl|AM181176.4_cds_CAY46306.1_21	558	390.351	447	97.4355
lcl|AM181176.4_cds_CAY46307.1_22	978	810.211	809	84.9603
lcl|AM181176.4_cds_CAY46308.1_23	933	765.211	3202	356.046
lcl|AM181176.4_cds_CAY46309.1_24	819	651.211	1528	199.649
lcl|AM181176.4_cds_CAY46310.1_25	1569	1401.21	308	18.7031
lcl|AM181176.4_cds_CAY46311.1_26	915	747.211	46	5.23818
lcl|AM181176.4_cds_CAY46312.1_27	1515	1347.21	105	6.63162
lcl|AM181176.4_cds_CAY46313.1_28	951	783.211	173	18.7946
lcl|AM181176.4_cds_CAY46314.1_29	348	183.848	98	45.3558
lcl|AM181176.4_cds_CAY46315.1_30	960	792.211	138	14.8219
lcl|AM181176.4_cds_CAY46316.1_31	621	453.27	43	8.07193
